model=resnet50d device=cuda fold_arg=all
cavity  large  medium  none  small
fold                              
0          12      12    49     16
1          11      13    49     16
2          11      13    50     15
3          11      12    49     16
4          12      11    50     16
[resnet50d] fold 0: 23.5M params, train=355 val=89 pos_weight=1.261
[resnet50d] fold0 ep00  loss=0.7714  score=0.7294 acc=0.7753 dice=0.6225 tau*=0.655  (60.1s)
[resnet50d] fold0 ep01  loss=0.3398  score=0.7375 acc=0.7753 dice=0.6494 tau*=0.510  (47.1s)
[resnet50d] fold0 ep02  loss=0.1884  score=0.7699 acc=0.8090 dice=0.6787 tau*=0.765  (48.3s)
[resnet50d] fold0 ep03  loss=0.1802  score=0.7542 acc=0.7865 dice=0.6787 tau*=0.615  (47.1s)
[resnet50d] fold0 ep04  loss=0.1233  score=0.7344 acc=0.7640 dice=0.6652 tau*=0.825  (46.9s)
[resnet50d] fold0 ep05  loss=0.0669  score=0.7744 acc=0.8202 dice=0.6674 tau*=0.265  (48.8s)
[resnet50d] fold0 ep06  loss=0.0370  score=0.7600 acc=0.7978 dice=0.6719 tau*=0.655  (51.4s)
[resnet50d] fold0 ep07  loss=0.0400  score=0.7573 acc=0.7978 dice=0.6629 tau*=0.915  (49.8s)
[resnet50d] fold0 ep08  loss=0.0362  score=0.7897 acc=0.8315 dice=0.6921 tau*=0.745  (50.5s)
[resnet50d] fold0 ep09  loss=0.0979  score=0.7501 acc=0.7865 dice=0.6652 tau*=0.560  (51.3s)
[resnet50d] fold0 ep10  loss=0.0943  score=0.7281 acc=0.7753 dice=0.6180 tau*=0.860  (46.6s)
[resnet50d] fold0 ep11  loss=0.0944  score=0.7757 acc=0.8202 dice=0.6719 tau*=0.580  (46.9s)
[resnet50d] fold0 ep12  loss=0.0465  score=0.7672 acc=0.8090 dice=0.6697 tau*=0.860  (50.5s)
[resnet50d] fold0 ep13  loss=0.0272  score=0.7420 acc=0.7865 dice=0.6382 tau*=0.235  (47.0s)
[resnet50d] fold0 ep14  loss=0.0376  score=0.7155 acc=0.7640 dice=0.6022 tau*=0.225  (45.9s)
[resnet50d] fold0 ep15  loss=0.0290  score=0.7488 acc=0.7865 dice=0.6607 tau*=0.640  (47.6s)
[resnet50d] fold0 ep16  loss=0.0214  score=0.7488 acc=0.7865 dice=0.6607 tau*=0.645  (47.8s)
[resnet50d] fold0 ep17  loss=0.0067  score=0.7474 acc=0.7865 dice=0.6562 tau*=0.880  (48.4s)
[resnet50d] fold0 ep18  loss=0.0108  score=0.7645 acc=0.8090 dice=0.6607 tau*=0.565  (46.4s)
[resnet50d] fold0 ep19  loss=0.0153  score=0.7757 acc=0.8202 dice=0.6719 tau*=0.430  (47.0s)
[resnet50d] fold0 ep20  loss=0.0059  score=0.7645 acc=0.8090 dice=0.6607 tau*=0.300  (46.9s)
[resnet50d] fold0 ep21  loss=0.0047  score=0.7672 acc=0.8090 dice=0.6697 tau*=0.550  (47.1s)
[resnet50d] fold0 ep22  loss=0.0045  score=0.7699 acc=0.8090 dice=0.6787 tau*=0.675  (47.7s)
[resnet50d] fold0 ep23  loss=0.0040  score=0.7757 acc=0.8202 dice=0.6719 tau*=0.470  (48.7s)
[resnet50d] fold0 ep24  loss=0.0141  score=0.7658 acc=0.8090 dice=0.6652 tau*=0.495  (46.9s)
[resnet50d] fold0 BEST: {'score': 0.7896629213483146, 'tau': 0.7449999999999999, 'acc': 0.8314606741573034, 'dice': 0.6921348314606741, 'epoch': 8}  -> /workspace/Code/runs/resnet50d/fold0_best.pt
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[resnet50d] fold 1: 23.5M params, train=355 val=89 pos_weight=1.261
[resnet50d] fold1 ep00  loss=0.7083  score=0.6989 acc=0.7191 dice=0.6517 tau*=0.560  (44.2s)
[resnet50d] fold1 ep01  loss=0.3450  score=0.7416 acc=0.7753 dice=0.6629 tau*=0.655  (44.4s)
[resnet50d] fold1 ep02  loss=0.1815  score=0.7573 acc=0.7978 dice=0.6629 tau*=0.735  (46.5s)
[resnet50d] fold1 ep03  loss=0.1139  score=0.7627 acc=0.7978 dice=0.6809 tau*=0.885  (47.1s)
[resnet50d] fold1 ep04  loss=0.0838  score=0.8063 acc=0.8427 dice=0.7213 tau*=0.775  (44.3s)
[resnet50d] fold1 ep05  loss=0.1082  score=0.7501 acc=0.7865 dice=0.6652 tau*=0.835  (45.4s)
[resnet50d] fold1 ep06  loss=0.0682  score=0.7375 acc=0.7753 dice=0.6494 tau*=0.840  (45.9s)
[resnet50d] fold1 ep07  loss=0.0543  score=0.7627 acc=0.7978 dice=0.6809 tau*=0.830  (46.8s)
[resnet50d] fold1 ep08  loss=0.0646  score=0.7726 acc=0.8090 dice=0.6876 tau*=0.910  (45.8s)
[resnet50d] fold1 ep09  loss=0.0823  score=0.7461 acc=0.7865 dice=0.6517 tau*=0.135  (43.4s)
[resnet50d] fold1 ep10  loss=0.0549  score=0.7515 acc=0.7865 dice=0.6697 tau*=0.630  (46.7s)
[resnet50d] fold1 ep11  loss=0.0422  score=0.7204 acc=0.7528 dice=0.6449 tau*=0.950  (44.7s)
[resnet50d] fold1 ep12  loss=0.0603  score=0.7052 acc=0.7416 dice=0.6202 tau*=0.455  (44.8s)
[resnet50d] fold1 ep13  loss=0.0819  score=0.7061 acc=0.7303 dice=0.6494 tau*=0.950  (46.0s)
[resnet50d] fold1 ep14  loss=0.0337  score=0.7528 acc=0.7865 dice=0.6742 tau*=0.920  (48.2s)
[resnet50d] fold1 ep15  loss=0.0266  score=0.7389 acc=0.7753 dice=0.6539 tau*=0.830  (44.5s)
[resnet50d] fold1 ep16  loss=0.0154  score=0.7335 acc=0.7753 dice=0.6360 tau*=0.470  (47.4s)
[resnet50d] fold1 ep17  loss=0.0238  score=0.7389 acc=0.7753 dice=0.6539 tau*=0.745  (46.4s)
[resnet50d] fold1 ep18  loss=0.0158  score=0.7488 acc=0.7865 dice=0.6607 tau*=0.600  (46.1s)
[resnet50d] fold1 ep19  loss=0.0067  score=0.7501 acc=0.7865 dice=0.6652 tau*=0.710  (44.3s)
[resnet50d] fold1 ep20  loss=0.0200  score=0.7501 acc=0.7865 dice=0.6652 tau*=0.520  (44.2s)
