model,dataset,n,acc,prec,rec,f1,auc
baseline_rad_dino,test,1940,0.9897,0.9978,0.9804,0.9890,0.9995
baseline_rad_dino,shenzhen,662,0.8927,0.8863,0.9048,0.8954,0.9609
baseline_rad_dino,montgomery,138,0.8913,0.8308,0.9310,0.8780,0.9672
baseline_rad_dino,tbx11k_raw,8400,0.6174,0.1940,0.9563,0.3225,0.9010
baseline_rad_dino,tbx11k_balanced,1600,0.7690,0.6957,0.9563,0.8054,0.9010
baseline_rad_dino,tbx11k_healthy,1600,0.9206,0.8926,0.9563,0.9234,0.9779
maskch_rad_dino,test,1940,0.9938,0.9978,0.9891,0.9934,0.9997
maskch_rad_dino,shenzhen,662,0.8112,0.7592,0.9196,0.8318,0.9264
maskch_rad_dino,montgomery,138,0.7899,0.6747,0.9655,0.7943,0.9381
maskch_rad_dino,tbx11k_raw,8400,0.5988,0.1852,0.9450,0.3097,0.8551
maskch_rad_dino,tbx11k_balanced,1600,0.7537,0.6835,0.9450,0.7932,0.8551
maskch_rad_dino,tbx11k_healthy,1600,0.9101,0.8834,0.9450,0.9132,0.9731
baseline_chexfound_vitl16,test,1940,0.9918,0.9989,0.9837,0.9912,0.9999
baseline_chexfound_vitl16,shenzhen,662,0.7432,0.7005,0.8631,0.7733,0.8624
baseline_chexfound_vitl16,montgomery,138,0.6667,0.5577,1.0000,0.7160,0.9325
baseline_chexfound_vitl16,tbx11k_raw,8400,0.6027,0.1825,0.9113,0.3041,0.8479
baseline_chexfound_vitl16,tbx11k_balanced,1600,0.7408,0.6795,0.9113,0.7785,0.8479
baseline_chexfound_vitl16,tbx11k_healthy,1600,0.8858,0.8670,0.9113,0.8886,0.9502
maskch_chexfound_vitl16,test,1940,0.9856,0.9967,0.9728,0.9846,0.9995
maskch_chexfound_vitl16,shenzhen,662,0.8082,0.8297,0.7827,0.8055,0.8732
maskch_chexfound_vitl16,montgomery,138,0.8406,0.9500,0.6552,0.7755,0.9157
maskch_chexfound_vitl16,tbx11k_raw,8400,0.6468,0.1882,0.8175,0.3060,0.7446
maskch_chexfound_vitl16,tbx11k_balanced,1600,0.7232,0.6877,0.8175,0.7470,0.7446
maskch_chexfound_vitl16,tbx11k_healthy,1600,0.9024,0.9848,0.8175,0.8934,0.9689
baseline_densenet121,test,1940,0.9871,0.9956,0.9772,0.9863,0.9987
baseline_densenet121,shenzhen,662,0.6631,0.6226,0.8542,0.7202,0.7798
baseline_densenet121,montgomery,138,0.7246,0.6852,0.6379,0.6607,0.8200
baseline_densenet121,tbx11k_raw,8400,0.5761,0.1601,0.8125,0.2674,0.7255
baseline_densenet121,tbx11k_balanced,1600,0.6818,0.6442,0.8125,0.7186,0.7255
baseline_densenet121,tbx11k_healthy,1600,0.8501,0.8785,0.8125,0.8442,0.9173
maskch_densenet121,test,1940,0.9861,0.9945,0.9761,0.9852,0.9988
maskch_densenet121,shenzhen,662,0.6314,0.5916,0.8839,0.7088,0.7348
maskch_densenet121,montgomery,138,0.7536,0.6818,0.7759,0.7258,0.8554
maskch_densenet121,tbx11k_raw,8400,0.4901,0.1414,0.8588,0.2429,0.6924
maskch_densenet121,tbx11k_balanced,1600,0.6550,0.6102,0.8588,0.7134,0.6924
maskch_densenet121,tbx11k_healthy,1600,0.8053,0.7758,0.8588,0.8152,0.8985
baseline_swin_tiny,test,1940,0.9887,0.9967,0.9793,0.9879,0.9989
baseline_swin_tiny,shenzhen,662,0.7356,0.7218,0.7798,0.7496,0.8088
baseline_swin_tiny,montgomery,138,0.7899,0.7636,0.7241,0.7434,0.8703
baseline_swin_tiny,tbx11k_raw,8400,0.6099,0.1650,0.7625,0.2713,0.7010
baseline_swin_tiny,tbx11k_balanced,1600,0.6782,0.6524,0.7625,0.7032,0.7010
baseline_swin_tiny,tbx11k_healthy,1600,0.8651,0.9593,0.7625,0.8496,0.9328
maskch_swin_tiny,test,1940,0.9897,0.9967,0.9815,0.9890,0.9991
maskch_swin_tiny,shenzhen,662,0.7054,0.6715,0.8214,0.7390,0.8086
maskch_swin_tiny,montgomery,138,0.8043,0.8444,0.6552,0.7379,0.8593
maskch_swin_tiny,tbx11k_raw,8400,0.5905,0.1629,0.7975,0.2706,0.6958
maskch_swin_tiny,tbx11k_balanced,1600,0.6831,0.6490,0.7975,0.7156,0.6958
maskch_swin_tiny,tbx11k_healthy,1600,0.8749,0.9436,0.7975,0.8644,0.9371
baseline_convnext_tiny,test,1940,0.9866,0.9945,0.9772,0.9857,0.9992
baseline_convnext_tiny,shenzhen,662,0.6752,0.6330,0.8571,0.7282,0.7726
baseline_convnext_tiny,montgomery,138,0.7899,0.8919,0.5690,0.6947,0.8728
baseline_convnext_tiny,tbx11k_raw,8400,0.5845,0.1632,0.8150,0.2720,0.7061
baseline_convnext_tiny,tbx11k_balanced,1600,0.6876,0.6495,0.8150,0.7229,0.7061
baseline_convnext_tiny,tbx11k_healthy,1600,0.8842,0.9459,0.8150,0.8756,0.9471
maskch_convnext_tiny,test,1940,0.9881,0.9967,0.9783,0.9874,0.9989
maskch_convnext_tiny,shenzhen,662,0.6949,0.6718,0.7798,0.7218,0.7863
maskch_convnext_tiny,montgomery,138,0.7899,0.8222,0.6379,0.7184,0.8675
maskch_convnext_tiny,tbx11k_raw,8400,0.5835,0.1588,0.7850,0.2641,0.6993
maskch_convnext_tiny,tbx11k_balanced,1600,0.6736,0.6420,0.7850,0.7063,0.6993
maskch_convnext_tiny,tbx11k_healthy,1600,0.8636,0.9313,0.7850,0.8519,0.9393
dgablation_strong_aug_no_mixup,test,1940,0.9918,0.9967,0.9859,0.9913,0.9996
dgablation_strong_aug_no_mixup,shenzhen,662,0.8958,0.9033,0.8899,0.8966,0.9605
dgablation_strong_aug_no_mixup,montgomery,138,0.9058,0.8261,0.9828,0.8976,0.9737
dgablation_strong_aug_no_mixup,tbx11k_raw,8400,0.6058,0.1899,0.9613,0.3172,0.9085
dgablation_strong_aug_no_mixup,tbx11k_balanced,1600,0.7648,0.6901,0.9613,0.8034,0.9085
