model,mendeley_tb,montgomery,shenzhen,tbx11k_balanced,tbx11k_healthy,tbx11k_raw,test
baseline_chexfound_vitl16,0.9075,0.7160,0.7733,0.7785,0.8886,0.3041,0.9912
baseline_convnext_tiny,0.9038,0.6947,0.7282,0.7229,0.8756,0.2720,0.9857
baseline_densenet121,0.9084,0.6607,0.7202,0.7186,0.8442,0.2674,0.9863
baseline_rad_dino,0.9100,0.8780,0.8954,0.8054,0.9234,0.3225,0.9890
baseline_swin_tiny,0.9094,0.7434,0.7496,0.7032,0.8496,0.2713,0.9879
chexfound_glori,0.9003,0.6554,0.6455,0.6989,0.7870,0.2306,0.9823
dgablation_light_aug_no_mixup,0.9067,0.7600,0.8899,0.7789,0.9004,0.2796,0.9957
dgablation_mixup_only,0.9067,0.7451,0.8443,0.7578,0.8593,0.2557,0.9978
dgablation_no_crop,,0.8522,0.8524,0.7955,0.9112,0.3493,0.9918
dgablation_no_dg,0.9067,0.7682,0.8921,0.7840,0.9291,0.2936,0.9973
dgablation_stratified_fold,0.9077,0.7917,0.9180,0.7906,0.9314,0.2944,0.9984
dgablation_strong_aug_no_mixup,0.9110,0.8976,0.8966,0.8034,0.9313,0.3172,0.9913
dual_stream,,0.2121,0.4087,,,,0.9779
ens_5encoder,0.9127,0.8348,0.7707,0.7633,0.9116,0.2983,0.9890
ens_rad_dino+chexfound,0.9095,0.8201,0.8433,0.8004,0.9219,0.3222,0.9929
maskch_chexfound_vitl16,0.9082,0.7755,0.8055,0.7470,0.8934,0.3060,0.9846
maskch_convnext_tiny,0.9108,0.7184,0.7218,0.7063,0.8519,0.2641,0.9874
maskch_densenet121,0.9199,0.7258,0.7088,0.7134,0.8152,0.2429,0.9852
maskch_rad_dino,0.9149,0.7943,0.8318,0.7932,0.9132,0.3097,0.9934
maskch_swin_tiny,0.8996,0.7379,0.7390,0.7156,0.8644,0.2706,0.9890
maskguidedvit_rad_dino,,0.6824,0.8237,0.7756,0.8748,0.2782,0.9924
